	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1109	18.685	18.661	18.612	18.611		-0.0192039915	-0.0642819704	-0.0193692536	-0.0636932488
1110	18.726	18.686	18.666	18.641		0.0698505391	-0.0106741915	0.0705535722	-0.0096693396
1111	18.672	18.646	18.595	18.593		-0.0474407939	-0.0964466378	-0.0476782914	-0.0961075943
1112	18.567	18.566	18.458	18.497		-0.2755072748	-0.2679915305	-0.2758158309	-0.2689841037
1113	18.47	18.472	18.332	18.386		-0.4861972619	-0.4695567794	-0.4856357577	-0.4688725678
1114	18.396	18.393	18.235	18.292		-0.6469298293	-0.6389573609	-0.6471637966	-0.6381474832
1115	18.334	18.347	18.155	18.236		-0.7815976561	-0.7375956742	-0.7803827978	-0.7389921138
1116	18.321	18.352	18.138	18.243		-0.8098344585	-0.7268741184	-0.8086918355	-0.7263865349
1117	18.41	18.43	18.254	18.335		-0.6165209652	-0.559617848	-0.6155242839	-0.5607132134
1118	18.562	18.54	18.452	18.467		-0.2863675834	-0.3237436206	-0.285807256	-0.3230080129
1119	18.677	18.632	18.601	18.576		-0.0365804853	-0.126466994	-0.0376868663	-0.1267211428
1120	18.688	18.656	18.616	18.604		-0.0126878063	-0.0750035262	-0.0127083036	-0.0762988276
1121	18.631	18.623	18.542	18.566		-0.1364953245	-0.1457657945	-0.1359358796	-0.1447291126
1122	18.566	18.563	18.457	18.494		-0.2776793365	-0.274424464	-0.2774810684	-0.2743864946
1123	18.505	18.501	18.378	18.42		-0.4101751016	-0.4073717558	-0.409034832	-0.4076454707
1124	18.449	18.445	18.304	18.354		-0.531810558	-0.5274531807	-0.5322624081	-0.5264980709
1125	18.4	18.399	18.241	18.299		-0.6382415824	-0.6260914939	-0.6371723715	-0.6255419044
1126	18.37	18.367	18.201	18.261		-0.7034034341	-0.694709451	-0.7037818721	-0.6939721894
1127	18.353	18.339	18.18	18.228		-0.7403284834	-0.7547501634	-0.7387518599	-0.7533984895
1128	18.326	18.302	18.144	18.183		-0.7989741499	-0.8340896763	-0.7987004105	-0.8344343533
1129	18.264	18.241	18.063	18.111		-0.9336419767	-0.964892657	-0.9335846491	-0.9640917354
1130	18.173	18.164	17.945	18.019		-1.1312995935	-1.1300046162	-1.1300826759	-1.129765057
1131	18.09	18.092	17.836	17.933		-1.3115807164	-1.2843950196	-1.311593565	-1.2846335967
1132	18.046	18.046	17.779	17.878		-1.4071514322	-1.3830333328	-1.4065121033	-1.3836774302
1133	18.037	18.027	17.767	17.855		-1.4266999877	-1.4237752449	-1.4264949535	-1.4250957606
1134	18.038	18.024	17.769	17.853		-1.424527926	-1.4302081783	-1.4231644784	-1.4286973545
1135	18.043	18.029	17.775	17.858		-1.4136676174	-1.4194866225	-1.4131730533	-1.4196933697
1136	18.051	18.032	17.785	17.862		-1.3962911236	-1.4130536891	-1.3965206782	-1.4124901818
1137	18.051	18.025	17.785	17.854		-1.3962911236	-1.4280638672	-1.3965206782	-1.4268965575
1138	18.025	17.999	17.751	17.822		-1.4527647284	-1.4838159573	-1.4531387537	-1.4845220607
1139	17.974	17.961	17.684	17.777		-1.5635398763	-1.5652997813	-1.5647096672	-1.5655579245
1140	17.929	17.934	17.627	17.745		-1.6612826538	-1.6231961826	-1.6596282055	-1.6231834276
1141	17.937	17.943	17.637	17.756		-1.64390616	-1.6038973822	-1.6429758304	-1.6033746609
1142	18.001	17.999	17.719	17.822		-1.5048942097	-1.4838159573	-1.5064263542	-1.4845220607
1143	18.096	18.099	17.844	17.942		-1.2985483461	-1.2693848415	-1.2982716648	-1.2684264239
1144	18.233	18.242	18.023	18.112		-1.0009758901	-0.9627483458	-1.0001941497	-0.9622909384
