# NOAA Paleoclimatology Program - Paleocean Site Data
# gb3313-1-fwc.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Frank Lamy
# Core/Site:      GeoB 3313-1
# Latitude:       41.00.00S	( -41)
# Longitude:      74.27.00W	( -74.45)
# Water Depth(m): 852
#
# Publications:
#   Lamy, F., C. Rühlemann, D. Hebbeln, and G. Wefer. 2002. High- and low-latitude
#     climate control on the position of the southern Peru-Chile Current during the
#     Holocene. Paleoceanography 17(2):1028.
#   Lamy, F., D. Hebbeln, U. Röhl, and G. Wefer. 2001. Holocene rainfall variability
#     in southern Chile: a marine record of latitudinal shifts of the Southern Westerlies.
#     Earth and Planetary Science Letters 185(3-4):369-382.
#------------------
#
# Description & Notes:
#   Southeast Pacific SST Reconstruction.
#   Reconstructed changes of paleotemperature, -salinity, and -productivity within
#   the southern Peru-Chile Current during the last 8,000 years from a high-resolution
#   sediment core recovered at 41°S using alkenones, isotope ratios of planktic foraminifera,
#   biogenic opal, and organic carbon. Fe and chronologic data previously published
#   in Lamy et al, 2001.
#
# Variables:
#             depth         Depth (cm)
#             yrBP C1       radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             calyrBP C2    calendar years B.P. (B.P. = 1950)
#             opal%         Opal percent
#             corg%         Organic Carbon weight percent
#             sst           Sea Surface Temperature (C)
#             Fe cps        Iron, counts per second (measured by scanning XRF)
#             d18O          delta O18 PDB
#             sal           Salinity
#
# CORE: GeoB 3313-1
depth         yrBP C1       calyrBP C2    opal%         corg%         sst           Fe cps        d18O          sal           
 208          -999          -999          -999           1.92          15.56         5449          0.24          33.93        
 209          -999          -999          -999          -999          -999           5396         -999          -999          
 210          -999          -999          -999          -999          -999           5402         -999          -999          
 211          -999          -999          -999          -999          -999           5322         -999          -999          
 212          -999          -999          -999          -999          -999           5357         -999          -999          
 213          -999          -999          -999           2.02          15.44         5511          0.32          34.05        
 214          -999          -999          -999          -999          -999           5555         -999          -999          
 216          -999          -999          -999          -999          -999           5938         -999          -999          
 217          -999          -999          -999          -999          -999           5961         -999          -999          
 218          -999          -999          -999           2.17         -999           5779          0.27          33.77        
 219          -999          -999          -999          -999          -999           5932         -999          -999          
 220          -999          -999          -999          -999          -999           6056         -999          -999          
 221          -999          -999          -999          -999          -999           6216         -999          -999          
 222          -999          -999          -999          -999          -999           6081         -999          -999          
 223          -999          -999           3.6           2.15          15.28         6185          0.28          33.72        
 224          -999          -999          -999          -999          -999           5964         -999          -999          
 225          -999          -999          -999          -999          -999           5855         -999          -999          
 226          -999          -999          -999          -999          -999           5957         -999          -999          
 227          -999          -999          -999          -999          -999           5779         -999          -999          
 228          -999          -999          -999           2.07         -999           5703          0.33          33.91        
 229          -999          -999          -999          -999          -999           5659         -999          -999          
 230          -999          -999          -999          -999          -999           5592         -999          -999          
 231          -999          -999          -999          -999          -999           5738         -999          -999          
 232          -999          -999          -999          -999          -999           5628         -999          -999          
 233          -999          -999          -999           2.02          15.18         5630          0.48          34.49        
 234          -999          -999          -999          -999          -999           5450         -999          -999          
 235          -999          -999          -999          -999          -999           5465         -999          -999          
 236          -999          -999          -999          -999          -999           5776         -999          -999          
 237          -999          -999          -999          -999          -999           5715         -999          -999          
 238          -999          -999          -999           1.85          15.08         5727          0.52          34.55        
 239          -999          -999          -999          -999          -999           6100         -999          -999          
 240          -999          -999          -999          -999          -999           5945         -999          -999          
 241          -999          -999          -999          -999          -999           5933         -999          -999          
 242          -999          -999          -999          -999          -999           5875         -999          -999          
 243          -999          -999           3.2           1.69         -999           5710          0.58          34.74        
 244          -999          -999          -999          -999          -999           5949         -999          -999          
 245          -999          -999          -999          -999          -999           5737         -999          -999          
 246          -999          -999          -999          -999          -999           5789         -999          -999          
 247          -999          -999          -999          -999          -999           5755         -999          -999          
 248          -999          -999          -999           1.82          15.04         5515          0.34          33.77        
 249          -999          -999          -999          -999          -999           5648         -999          -999          
 250          -999          -999          -999          -999          -999           5688         -999          -999          
 251          -999          -999          -999          -999          -999           5697         -999          -999          
 252          -999          -999          -999          -999          -999           5645         -999          -999          
 253          -999          -999          -999           1.93         -999           5652          0.53          34.55        
 254          -999          -999          -999          -999          -999           5994         -999          -999          
 255          -999          -999          -999          -999          -999           5634         -999          -999          
 256          -999          -999          -999          -999          -999           5746         -999          -999          
 257          -999          -999          -999          -999          -999           5562         -999          -999          
 258          -999          -999          -999           1.93          15.01         5361          0.21          33.36        
 259          -999          -999          -999          -999          -999           5075         -999          -999          
 260          -999          -999          -999          -999          -999           5172         -999          -999          
 261          -999          -999          -999          -999          -999           5235         -999          -999          
 262          -999          -999          -999          -999          -999           5164         -999          -999          
 263           1970          1980          3.4           1.99         -999           5120          0.47          34.45        
 264          -999          -999          -999          -999          -999           5282         -999          -999          
 265          -999          -999          -999          -999          -999           5300         -999          -999          
 266          -999          -999          -999          -999          -999           5475         -999          -999          
 267          -999          -999          -999          -999          -999           5285         -999          -999          
 268          -999          -999          -999           1.88          15.45         5340          0.49          34.62        
 269          -999          -999          -999          -999          -999           5289         -999          -999          
 270          -999          -999          -999          -999          -999           5285         -999          -999          
 271          -999          -999          -999          -999          -999           5238         -999          -999          
 272          -999          -999          -999          -999          -999           5606         -999          -999          
 273          -999          -999          -999           1.74         -999           5185          0.47          34.45        
 274          -999          -999          -999          -999          -999           5526         -999          -999          
 275          -999          -999          -999          -999          -999           5427         -999          -999          
 276          -999          -999          -999          -999          -999           5271         -999          -999          
 277          -999          -999          -999          -999          -999           5453         -999          -999          
 278          -999          -999          -999           1.7           15.05         5514          0.49          34.44        
 279          -999          -999          -999          -999          -999           5228         -999          -999          
 280          -999          -999          -999          -999          -999           5277         -999          -999          
 281          -999          -999          -999          -999          -999           5327         -999          -999          
 282          -999          -999          -999          -999          -999           5350         -999          -999          
 283          -999          -999           3.3           1.87         -999           5909          0.01          32.55        
 284          -999          -999          -999          -999          -999           5467         -999          -999          
 285          -999          -999          -999          -999          -999           5625         -999          -999          
 286          -999          -999          -999          -999          -999           5359         -999          -999          
 287          -999          -999          -999          -999          -999           5296         -999          -999          
 288          -999          -999          -999           1.78          15.01         5591          0.37          33.89        
 289          -999          -999          -999          -999          -999           5447         -999          -999          
 290          -999          -999          -999          -999          -999           5222         -999          -999          
 291          -999          -999          -999          -999          -999           5111         -999          -999          
 292          -999          -999          -999          -999          -999           5374         -999          -999          
 293          -999          -999          -999           1.84         -999           4962          0.32          33.74        
 294          -999          -999          -999          -999          -999           5897         -999          -999          
 295          -999          -999          -999          -999          -999           5325         -999          -999          
 296          -999          -999          -999          -999          -999           5362         -999          -999          
 297          -999          -999          -999          -999          -999           5383         -999          -999          
 298          -999          -999          -999           1.69          15.11         5702          0.35          33.9         
 299          -999          -999          -999          -999          -999           5776         -999          -999          
 300          -999          -999          -999          -999          -999           5775         -999          -999          
 301          -999          -999          -999          -999          -999           5841         -999          -999          
 302          -999          -999          -999          -999          -999           5815         -999          -999          
 303          -999          -999           3.3           1.68         -999           5589          0.48          34.36        
 304          -999          -999          -999          -999          -999           5539         -999          -999          
 305          -999          -999          -999          -999          -999           5697         -999          -999          
 306          -999          -999          -999          -999          -999           5444         -999          -999          
 307          -999          -999          -999          -999          -999           5383         -999          -999          
 308          -999          -999          -999           2             14.9          5730          0.43          34.12        
 309          -999          -999          -999          -999          -999           5541         -999          -999          
